id,model,brand,weight,released,operatingSystem,platform,deviceCategory
9825,SM-J320FN/DD Galaxy J3 2016 Duos LTE,Samsung,138 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9826,GM5 Plus Android One Dual SIM LTE-A,General Mobile,174 g,2016 Feb. 28,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9827,Aquaris X5 Plus LTE Dual SIM 64GB,BQ,150 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9828,L7 Dual SIM TD-LTE,Doov,147 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9829,4G501 Zap 6 Posh LTE Dual SIM,Polytron,135.8 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9830,Aquaris X5 Plus LTE Dual SIM 32GB,BQ,150 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9831,U Feel Dual SIM LTE,Wiko,145 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9832,You Color P509,NGM,136 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9833,ZenFone 2 Laser 6.0 Dual SIM Global LTE 16GB ZE600KL,Asus,190 g,2015 Oct,Google Android 5.0.2 (Lollipop),Android,Smartphone
9834,SM-R735V Gear S2 Classic 3G,Samsung,54 g,2016 Mar 11,Samsung Tizen Wearable Platform,Linux,Smartwatch
9835,Mi5 Standard Edition Dual SIM TD-LTE 32GB 2015105 / Libra,Xiaomi,129 g,2016 Mar 2,Google Android 6.0 (Marshmallow),Android,Smartphone
9836,Tommy LTE EMEA M1146,Wiko,165 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9837,SM-G935A Galaxy S7 Edge TD-LTE,Samsung,157 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9838,SM-R735 Gear S2 Classic 3G,Samsung,54 g,2016 Mar,Samsung Tizen Wearable Platform,Linux,Smartwatch
9839,Vivo Xplay 5 Standard Edition Dual SIM TD-LTE 128GB,BBK,167.8 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9840,SM-A9100 Galaxy A9 Pro 2016 Duos TD-LTE,Samsung,210 g,2016 Mar 29,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9841,ZenFone 2 Laser 6.0 Dual SIM Global LTE 32GB ZE600KL,Asus,190 g,2015 Oct,Google Android 5.0.2 (Lollipop),Android,Smartphone
9844,Fire2 Plus Dual SIM LTE,InnJoo,180.1 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9845,SM-G930P Galaxy S7 TD-LTE,Samsung,152 g,2016 Mar 12,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9846,Q461 Canvas Juice 4G LTE,Micromax,152 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9847,MADOSMA Q601 TD-LTE Dual SIM,Mouse Computer,176.5 g,2016 Jul 28,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9848,Liquid M330 LTE Dual SIM TM01,Acer,142 g,2016 Mar 2,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9849,SM-G935FD Galaxy S7 Edge Duos TD-LTE,Samsung,157 g,2016 Mar 18,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9850,SM-J5108 Galaxy J5 6 Duos TD-LTE / Galaxy J5 2016,Samsung,159 g,2016 Mar 31,Google Android 5.1.1 (Lollipop),Android,Smartphone
9851,T620 Blade D2 Dual SIM LTE,ZTE,160.9 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9852,U Feel Lite Dual SIM LTE,Wiko,147 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9855,8718 TD-LTE,Coolpad,150 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9856,Y91-921 Fengshang Pro 2 TD-LTE Dual SIM,Coolpad,167 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9857,SM-J120P Galaxy J1 2016 TD-LTE US,Samsung,131 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9858,A33 Mirror 5 Lite Dual SIM TD-LTE A33c,Oppo,145 g,2015 Nov. 21,Google Android 5.1.1 (Lollipop),Android,Smartphone
9859,SM-G935T Galaxy S7 Edge TD-LTE / SM-G935T1,Samsung,157 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9860,One X9 Dual SIM TD-LTE X9u 64GB,HTC,170 g,2016 Mar 16,Google Android 6.0 (Marshmallow),Android,Smartphone
9861,1501-M01 TD-LTE Dual SIM,Coolpad,130 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9862,SM-T116IR Galaxy Tab Iris 3G,Samsung,327 g,2016 May 26,Google Android 5.0.1 (Lollipop),Android,Smartphone
9863,SM-G9350 Galaxy S7 Edge Duos TD-LTE,Samsung,157 g,2016 Mar 16,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9864,SM-T285 Galaxy Tab A 7.0 2016 TD-LTE,Samsung,283 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9865,G5 H831 LTE-A,LG,155 g,2016 Apr. 8,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9866,SM-G930R4 Galaxy S7 LTE-A,Samsung,152 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9867,K120AR K Series K4 4G LTE,LG,131 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9868,ZenFone 2 Laser 6.0 Dual SIM TW LTE 32GB ZE600KL,Asus,190 g,2015 Nov.,Google Android 5.0.2 (Lollipop),Android,Smartphone
9869,ZenFone 2 Laser 6.0 Dual SIM TW LTE 16GB ZE600KL,Asus,190 g,2015 Nov.,Google Android 5.0.2 (Lollipop),Android,Smartphone
9870,R9 Plus Dual SIM TD-LTE 128GB R9 Plusm A,Oppo,185 g,2016 May 4,Google Android 5.1.1 (Lollipop),Android,Smartphone
9871,A53 Global Dual SIM TD-LTE A53f,Oppo,165 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9872,MediaPad 7 Lite WiFi 4GB S7-931w,Huawei,370 g,2012 Sep,Google Android 4.0.3 (Ice Cream Sandwich),Android,Tablet
9873,R9 Dual SIM TD-LTE 64GB R9m / R9km,Oppo,145 g,2016 Mar 23,Google Android 5.1.1 (Lollipop),Android,Smartphone
9874,SM-G935R4 Galaxy S7 Edge LTE-A,Samsung,157 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9875,Vivo Xplay 5 Flagship Edition Dual SIM TD-LTE 128GB,BBK,167.8 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9876,ZenFone 2 Deluxe Special Edition Dual SIM Global LTE ZE551ML 128GB,Asus,170 g,2016 Apr.,Google Android 5.0.2 (Lollipop),Android,Smartphone
9877,Fengshang MAX CA A8-931 Dual SIM TD-LTE,Coolpad,169 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9878,Rise 31 Special Edition Dual SIM,Orange,110 g,2016 Feb.,Google Android 6.0 (Marshmallow),Android,Smartphone
9879,Flare Mate Dual SIM LTE,Cherry Mobile,170 g,2016 Mar 4,Google Android 5.1 (Lollipop),Android,Smartphone
9880,SM-G9300 Galaxy S7 Duos TD-LTE,Samsung,152 g,2016 Mar 16,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9881,Blade V580 Dual SIM LTE JP,ZTE,165 g,2016 Mar 28,Google Android 5.1 (Lollipop),Android,Smartphone
9882,Aqua Twist Dual SIM,Intex,175 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9883,SM-J105F/DS Galaxy J1 mini 2016 Duos 4G LTE / Galaxy J1 Nxt,Samsung,123 g,2016 Mar 8,Google Android 5.1.1 (Lollipop),Android,Smartphone
9884,SM-J105B/DS Galaxy J1 mini 2016 Duos,Samsung,123 g,2016 Mar 9,Google Android 5.1.1 (Lollipop),Android,Smartphone
9885,SM-J7108 Galaxy J7 2016 Duos TD-LTE CN 16GB,Samsung,170 g,2016 Mar 29,Google Android 5.1.1 (Lollipop),Android,Smartphone
9886,Hongmi 3 4G / Redmi 3 Dual SIM TD-LTE 2015817,Xiaomi,144 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9887,K120 Spree 4G LTE / K Series K4,LG,120 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9888,ZenFone Go Dual SIM JP LTE ZB551KL,Asus,160 g,2016 Mar 29,Google Android 5.1.1 (Lollipop),Android,Smartphone
9889,SM-G930FD Galaxy S7 Duos TD-LTE,Samsung,152 g,2016 Mar 18,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9890,SM-J120H/DS Galaxy J1 2016 Duos / SM-J120H/DD,Samsung,131 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9891,G5 VS987 XLTE,LG,159 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9892,V955 Dual SIM TD-LTE,Pantech,140 g,2016 Mar,Google Android 5.0.1 (Lollipop),Android,Smartphone
9894,F1 WT20 Selfie Expert Dual SIM TD-LTE 16GB,Oppo,134 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9895,SM-R735A Gear S2 Classic 3G,Samsung,54 g,2016 Mar 11,Samsung Tizen Wearable Platform,Linux,Smartwatch
9896,F1 ICC WT20 Selfie Expert Dual SIM TD-LTE 32GB,Oppo,134 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9897,SM-T280 Galaxy Tab A 7.0 2016 WiFi,Samsung,283 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Tablet
9898,K430dsF K Series K10 Dual SIM LTE,LG,153 g,2016 Mar,Google Android 6.0 (Marshmallow),Android,Smartphone
9899,P9 Standard Edition Dual SIM TD-LTE EVA-L19,Huawei,144 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9900,Amazing A1 Dual SIM TD-LTE,Hisense,142 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9902,E561 Fancy Dual SIM LTE,Coolpad,120 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9903,SM-G9308 Galaxy S7 Duos TD-LTE,Samsung,152 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9905,M6 Dual SIM TD-LTE,Koobee,165 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
9906,U200 LTE Dual SIM,Uhans,207 g,2015 Nov.,Google Android 5.1 (Lollipop),Android,Smartphone
9907,Vivo Xplay 5A Standard Edition Dual SIM TD-LTE 128GB,BBK,167.8 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9908,Moto E CDMA XT830C,Motorola,142 g,2014 Oct 14,Google Android 4.4.3 (KitKat),Android,Smartphone
9909,K420NM K Series K10 4G LTE,LG,142 g,2016 Feb. 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9910,SM-J120FN Galaxy J1 2016 4G LTE,Samsung,131 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9911,SM-R735T Gear S2 Classic 3G,Samsung,54 g,2016 Mar 11,Samsung Tizen Wearable Platform,Linux,Smartwatch
9912,4G550 Zap 6 Note LTE Dual SIM,Polytron,162.5 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9913,SM-G935D / SGH-N611 Galaxy S7 Edge TD-LTE SC-02H,Samsung,158 g,2016 May 19,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9914,SM-T285M Galaxy Tab E 7.0 2016 4G LTE,Samsung,283 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9915,K350ds K Series K8 Dual SIM 4G LTE,LG,156.9 g,2016 Mar 16,Google Android 6.0 (Marshmallow),Android,Smartphone
9916,X220ds K Series K5 Dual SIM,LG,120 g,2016 Mar 16,Google Android 5.1.1 (Lollipop),Android,Smartphone
9917,Touch Windows Mobile Dual SIM LTE,UMI,190 g,2016 Apr.,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9918,Touch Dual SIM LTE,UMI,190 g,2016 Mar 26,Google Android 6.0 (Marshmallow),Android,Smartphone
9919,G5 H868 Dual SIM TD-LTE,LG,159 g,2016 Apr. 2,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9920,Fengshang MiNi Y72-921 Dual SIM TD-LTE,Coolpad,185 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9921,SM-G930S Galaxy S7 TD-LTE,Samsung,152 g,2016 Mar 11,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9922,SM-G935K Galaxy S7 Edge TD-LTE,Samsung,157 g,2016 Mar 3,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9923,K121 K Series K4 4G LTE,LG,131.6 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9924,X552 ZERO 3 Dual SIM LTE 16GB,Infinix,172 g,2016 Mar 18,Google Android 5.1.1 (Lollipop),Android,Smartphone
9925,S3+ Dual SIM TD-LTE,Jiayu,189 g,2015 Nov.,Google Android 5.1 (Lollipop),Android,Smartphone
9926,G5 F700L LTE-A,LG,159 g,2016 Mar 29,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9927,SM-G935J Galaxy S7 Edge WiMAX 2+ SCV33,Samsung,158 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9930,LIFE X5004 MD99238 LTE Dual SIM,Medion,140 g,2015 Dec,Google Android 5.0.1 (Lollipop),Android,Smartphone
9931,Y891 TD-LTE Dual SIM,Coolpad,167 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9932,Speed 5.5 LTE,Azumi Mobile,170 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9933,G5 SE H845 Dual SIM TD-LTE / G5 Lite / G5se,LG,157 g,2016 May 23,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9934,G5 SE H840AR LTE-A,LG,159 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9935,iPhone SE A1662 4G LTE 64GB,Apple,113 g,2016 Mar 29,Apple iOS 9.3,iOS / iPadOS,Smartphone
9936,iPhone SE A1723 TD-LTE 16GB,Apple,113 g,2016 Mar 29,Apple iOS 9.3,iOS / iPadOS,Smartphone
9937,iPad Pro 9.7-inch A1674 TD-LTE 256GB,Apple,444 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Tablet
9938,iPad Pro 9.7-inch A1673 WiFi 32GB,Apple,437 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Tablet
9939,Vivo Y31A TD-LTE Dual SIM,BBK,141 g,2016 Mar 21,Google Android 5.0.2 (Lollipop),Android,Smartphone
9940,Q382 Canvas Juice 4,Micromax,152 g,2015 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
9941,iPad Pro 12.9-inch TD-LTE A1652 256GB,Apple,723 g,2016 Mar 29,Apple iOS 9.3,iOS / iPadOS,Tablet
9942,SM-J510FN/DS Galaxy J5 2016 Duos TD-LTE / SM-J510FN/DD,Samsung,155.4 g,2016 May,Google Android 5.1.1 (Lollipop),Android,Smartphone
9943,F650K X Series X Screen 4G LTE,LG,120 g,2016 Mar 23,Google Android 6.0 (Marshmallow),Android,Smartphone
9944,G5 H860N Dual SIM TD-LTE,LG,159 g,2016 Apr. 2,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9945,TP601A Neffos C5L LTE Dual SIM,TP-Link,154 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
9946,iPad Pro 9.7-inch A1674 TD-LTE 128GB,Apple,444 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Tablet
9947,iPhone SE A1662 4G LTE 16GB,Apple,113 g,2016 Mar 29,Apple iOS 9.3,iOS / iPadOS,Smartphone
9948,Infinty KO C20 Dual SIM TD-LTE,Hisense,153 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9949,Xolo Era 4K TD-LTE Dual SIM,Lava,157 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9950,SM-J510S Galaxy J5 6 4G LTE / Galaxy J5 2016,Samsung,158 g,2016 Apr. 29,Google Android 5.1.1 (Lollipop),Android,Smartphone
9952,Aqua Ace II TD-LTE Dual SIM / Ace 2,Intex,149 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9953,iPhone SE A1723 TD-LTE 64GB,Apple,113 g,2016 Mar 29,Apple iOS 9.3,iOS / iPadOS,Smartphone
9954,Mediapad T1K 10.0 LTE,Huawei,450 g,2016 Apr.,Google Android 4.4.4 (KitKat),Android,Tablet
9955,V2s TD-LTE Dual SIM,Lava,127 g,2016 Mar,Google Android 6.0 (Marshmallow),Android,Smartphone
9956,iPad Pro 9.7-inch A1673 WiFi 128GB,Apple,437 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Tablet
9957,G5 SE H848 Dual SIM TD-LTE,LG,156 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9958,iPhone SE A1724 TD-LTE 16GB,Apple,113 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Smartphone
9959,Nubia Z11 Mini Dual SIM TD-LTE NX529J,ZTE,138 g,2016 May,Google Android 5.1.1 (Lollipop),Android,Smartphone
9960,H955P G Flex2 LTE-A / H955PR,LG,152 g,2015 Jun,Google Android 5.0.1 (Lollipop),Android,Smartphone
9961,G5 H860 TD-LTE,LG,159 g,2016 Apr. 2,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9962,G5 H850 TD-LTE / H850TR,LG,158 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9963,K500H X Series X Screen 4G LTE / K500,LG,120 g,2016 May,Google Android 6.0 (Marshmallow),Android,Smartphone
9964,Cloud Jewel Dual SIM TD-LTE,Intex,140 g,2016 Feb. 28,Google Android 5.1 (Lollipop),Android,Smartphone
9965,Vivo Y31L TD-LTE Dual SIM,BBK,133 g,2016 Mar 24,Google Android 5.1 (Lollipop),Android,Smartphone
9966,SM-J105Y Galaxy J1 mini 2016 TD-LTE,Samsung,123 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9967,SM-G930AZ Galaxy S7 LTE-A,Samsung,152 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9968,BA510 Yuanhang 4 TD-LTE Dual SIM,ZTE,130 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
9969,Sky 3 Dual SIM LTE EU,Coolpad,143 g,2016 Jul,Google Android 6.0 (Marshmallow),Android,Smartphone
9970,Vivo V3Max A TD-LTE Dual SIM,BBK,168 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9971,SM-J510L Galaxy J5 2016 4G LTE,Samsung,155.4 g,2016 Apr. 29,Google Android 5.1.1 (Lollipop),Android,Smartphone
9972,SM-G935S Galaxy S7 Edge TD-LTE,Samsung,157 g,2016 Mar 3,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9973,SM-J510K Galaxy J5 2016 4G LTE,Samsung,155.4 g,2016 Apr. 29,Google Android 5.1.1 (Lollipop),Android,Smartphone
9974,K500F X Series X Screen 4G LTE / K500AR,LG,120 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9975,K350E K Series K8 Dual SIM 4G LTE,LG,157 g,2016 Mar 16,Google Android 6.0 (Marshmallow),Android,Smartphone
9976,SM-J710FN/DS Galaxy J7 2016 Duos Global LTE / SM-J710FN/DD Galaxy On8,Samsung,170 g,2016 Apr. 21,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9977,F100 TD-LTE Dual SIM,GiONEE,145 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
9978,Bingo 10 Dual SIM,InFocus,143 g,2016 Mar 28,Google Android 6.0 (Marshmallow),Android,Smartphone
9979,iPhone SE A1724 TD-LTE 64GB,Apple,113 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Smartphone
9980,SM-W708Y Galaxy TabPro S LTE-A 256GB,Samsung,693 g,2016 Apr.,Microsoft Windows 10 Pro,Windows (desktop-class),Tablet
9981,iPad Pro 9.7-inch A1675 TD-LTE 32GB,Apple,444 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Tablet
9982,iPad Pro 9.7-inch A1673 WiFi 256GB,Apple,437 g,2016 Mar 31,Apple iOS 9.3,iOS / iPadOS,Tablet
9983,S226M Dual SIM TD-LTE,Philips,135 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
9984,H955 G Flex2 LTE-A / H955TR,LG,152 g,2015 Mar,Google Android 5.0.1 (Lollipop),Android,Smartphone
9985,D723 G3 Beat / D723TR,LG,137 g,2014 Sep,Google Android 4.4.2 (KitKat),Android,Smartphone
9987,GN9011 Elife S8 Dual SIM TD-LTE 32GB,GiONEE,147 g,2016 Feb. 28,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9988,SM-J320M/DS Galaxy J3 2016 Duos LTE,Samsung,138 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9989,SM-J105M/DS Galaxy J1 mini 2016 Duos 4G LTE,Samsung,123 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9990,K430N K Series K10 TD-LTE,LG,140 g,2016 Mar,Google Android 6.0 (Marshmallow),Android,Smartphone
9991,T6 Dual SIM LTE,Doogee,170 g,2015 Nov.,Google Android 5.1 (Lollipop),Android,Smartphone
9992,YT3-X90L Yoga Tab 3 Pro 10.1 LTE EMEA,Lenovo,665 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Tablet
9993,H635A G4 Stylus LTE,LG,163 g,2015 Jun,Google Android 5.0.2 (Lollipop),Android,Smartphone
9994,X210ds K Series K7 Dual SIM HSPA,LG,158.6 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9995,Dive 50 LTE Dual SIM,Orange,146 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9996,T55 4G LTE Dual SIM 16GB,BenQ,164 g,2016 Aug.,Google Android 5.1 (Lollipop),Android,Smartphone
9997,Vivo V3 A TD-LTE Dual SIM,BBK,138 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9998,SM-J710F/DS Galaxy J7 2016 Duos Global LTE 16GB,Samsung,170 g,2016 Apr. 21,Google Android 5.1.1 (Lollipop),Android,Smartphone
9999,Beez X5 LTE Dual SIM,Covia,148 g,2016 Apr.,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
10000,Vienna LTE Dual SIM,uleFone,156 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
10001,P9 Premium Edition Dual SIM TD-LTE EVA-AL10,Huawei,144 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10002,P9 Plus Dual SIM TD-LTE VIE-L29,Huawei,162 g,2016 Apr. 16,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10003,P9 Premium Edition Dual SIM TD-LTE EVA-L29,Huawei,144 g,2016 Apr. 16,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10004,Eluga Arc Dual SIM TD-LTE,Panasonic,130 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
10005,SM-J700T Galaxy J7 4G LTE,Samsung,171 g,2016 May 18,Google Android 6.0 (Marshmallow),Android,Smartphone
10006,F7 Pro Dual SIM LTE,Doogee,180 g,2016 Feb. 28,Google Android 6.0 (Marshmallow),Android,Smartphone
10007,F690L X Series X Cam 4G LTE,LG,118 g,2016 Jun 29,Google Android 6.0 (Marshmallow),Android,Smartphone
10008,P9 Plus TD-LTE VIE-L09,Huawei,162 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10009,SM-J710K Galaxy J7 6 LTE-A KR 16GB / Galaxy J7 2016,Samsung,169 g,2016 Apr. 29,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10010,Y6 LTE JP SCL-L02,Huawei,155 g,2016 Apr. 16,Google Android 5.1 (Lollipop),Android,Smartphone
10011,C Dual SIM LTE / Aqua Fish,Jolla,150 g,2016 Jul,Jolla Sailfish OS 2.0 (Eineheminlampi),Linux,Smartphone
10012,m3 note Dual SIM TD-LTE 16GB M681C / M681Q,Meizu,163 g,2016 Apr. 24,Google Android 5.1.1 (Lollipop),Android,Smartphone
10013,GR3 Dual SIM LTE TAG-L21 / Enjoy 5S,Huawei,135 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
10014,H960AR V10 TD-LTE,LG,192 g,2015 Dec,Google Android 5.1.1 (Lollipop),Android,Smartphone
10015,D693AR G3 Stylus,LG,173 g,2014 Oct,Google Android 4.4.2 (KitKat),Android,Smartphone
10016,X150 L Bello II,LG,155.5 g,2015 Jun,Google Android 5.1.1 (Lollipop),Android,Smartphone
10017,H540F G Stylus Dual SIM,LG,162 g,2015 Jul 4,Google Android 5.0.2 (Lollipop),Android,Smartphone
10018,G5 LS992 TD-LTE US,LG,159 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10019,P9 Standard Edition TD-LTE EVA-L09,Huawei,144 g,2016 Apr. 16,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10021,Digno 501KC LTE,Kyocera,130 g,2015 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
10022,K430TV K Series K10 TV Dual SIM LTE,LG,153 g,2016 Feb. 14,Google Android 6.0 (Marshmallow),Android,Smartphone
10023,G5 US992 LTE-A,LG,159 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10024,A53 Dual SIM TD-LTE A53c,Oppo,165 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
10025,R9 Dual SIM TD-LTE 64GB R9tm,Oppo,145 g,2016 Apr. 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
10026,R9 Plus Dual SIM TD-LTE 64GB R9 Plustm,Oppo,185 g,2016 Apr. 12,Google Android 5.1.1 (Lollipop),Android,Smartphone
10027,BA510C Yuanhang 4 TD-LTE Dual SIM,ZTE,130 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
10028,P9 Standard Edition Dual SIM TD-LTE EVA-DL00,Huawei,144 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10029,LIFE S5004 MD99722 LTE Dual SIM,Medion,128 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
10030,10 LTE-A NA 32GB,HTC,161 g,2016 Apr. 29,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10031,10 Lifestyle TD-LTE M10u,HTC,161 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10032,One Touch Pop 4S LTE 5095L 32GB,Alcatel,150 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10035,10 TD-LTE JP 32GB,HTC,161 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
10036,5367 Dual SIM TD-LTE,Coolpad,130.8 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
10037,Quattro L51 HD TD-LTE Dual SIM,Karbonn,125 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
10038,GR5 Dual SIM LTE KII-L23,Huawei,158 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
10039,Hydro REACH C6743 TD-LTE US,Kyocera,141 g,2016 May,Google Android 5.1.1 (Lollipop),Android,Smartphone
